ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
516,10,10,3,1346,3629,3629,1548,1314,32,223,289,300,534,380,351,28,0.21,219,225,666,975,1120,643,0,47,106,27,0,39,0,0,4,0,0,0,2,1.08664,0,1346,516,0
517,10,10,3,1903,5086,5237,2251,1634,269,380,436,576,511,503,399,52,0.2,1202,291,955,1656,1447,888,107,24,904,137,0,30,0,0,4,0,0,0,3,1.21122,0,1903,517,151
518,10,10,3,2247,5809,5871,2496,1751,496,428,472,510,837,725,513,128,0.2,3234,350,1170,1721,1646,984,891,526,1119,423,67,208,0,0,4,0,0,0,2,1.27127,0,2247,518,62
519,10,10,3,3131,7842,8042,3577,2239,892,906,569,847,809,756,440,134,0.19,7923,492,1408,2713,2174,1255,160,796,4836,491,47,1593,0,0,4,0,0,0,3,1.73053,0,3131,519,200
520,10,10,3,1390,4091,4101,1591,1296,94,450,230,317,393,419,371,40,0.16,811,273,901,1280,1097,550,154,152,322,144,0,39,0,0,4,0,0,0,3,1.15346,0,1390,520,10
521,10,10,3,1947,4860,4873,2183,1263,684,592,370,520,465,428,287,116,0.17,2466,277,825,1814,1290,667,422,431,933,553,1,126,0,0,4,0,0,0,3,1.36773,0,1947,521,13
522,11,11,3,2193,5886,5919,2522,1678,515,610,459,580,544,462,366,96,0.21,1348,368,1067,1908,1523,1053,262,475,495,106,0,10,0,0,4,0,0,0,3,1.24266,0,2193,522,33
523,11,11,3,2575,7162,7200,3013,2334,241,569,407,790,809,644,560,69,0.22,1250,440,1371,1940,2108,1341,348,178,340,320,0,64,0,0,4,0,0,0,3,1.17928,0,2575,523,38
524,11,11,3,1917,5067,5075,2056,1898,19,569,285,512,551,458,414,33,0.27,229,283,803,1263,1508,1218,16,86,83,36,0,8,0,0,4,0,0,0,3,1.11436,0,1917,524,8
525,11,11,3,1584,3950,4063,1567,1495,89,420,319,380,465,429,403,26,0.3,540,201,552,960,1267,1083,29,78,270,144,0,19,0,0,4,824.91766,0,0,3,1.11408,0,1584,525,113
526,11,11,3,2438,6171,6187,2595,2248,190,722,393,600,723,618,503,93,0.23,868,416,877,1861,1806,1227,73,199,477,112,0,7,0,0,4,1745.73669,0,0,3,1.13819,0,2438,526,16
527,11,11,3,2814,6801,6812,3123,2428,386,771,573,643,827,688,563,82,0.19,1626,444,979,2273,2067,1049,282,427,678,126,0,113,0,0,4,0,0,0,3,1.18698,0,2814,527,11
