Table 9.  Superdistrict to Superdistrict Trip Summary by Mode - Total Trips,,,,,,,,,,,,
,,,,,,,,,,,,
"Superdistrict 
of Production","Superdistrict 
of Attraction",Vehicle Driver,"Vehicle 
Passenger","Drive 
Alone","Shared 
Ride 2","Shared 
Ride 3+","School 
Bus",Transit,Bike,Walk,Other,"Total 
Modes"
8,19,205,0,165,0,39,0,0,0,0,0,205
8,20,210,874,85,999,0,0,0,0,0,0,"1,084"
8,21,528,0,427,0,101,0,0,0,0,0,528
8,22,63,0,31,31,0,0,0,0,0,0,63
8,23,105,0,105,0,0,0,0,0,0,0,105
8,24,0,0,0,0,0,0,0,0,89,0,89
8,25,182,0,182,0,0,0,0,0,0,0,182
8,26,448,448,0,896,0,0,0,0,0,0,896
8,28,0,78,0,78,0,0,0,0,0,0,78
8,29,198,40,159,0,79,0,0,0,0,0,238
8,30,51,0,51,0,0,0,0,0,0,0,51
8,31,280,0,280,0,0,0,0,0,0,0,280
8,32,79,0,79,0,0,0,0,0,0,0,79
8,34,41,73,0,41,73,0,0,0,0,0,114
9,1,820,167,477,316,194,0,"1,966",0,0,0,"2,953"
9,2,549,133,406,206,70,0,95,0,0,0,777
9,3,634,115,511,123,115,0,119,0,0,0,868
9,4,379,172,225,68,258,0,0,0,0,0,551
9,5,"1,438",116,976,181,397,0,"1,214",37,0,165,"2,970"
9,6,"5,372",627,"4,606",800,593,0,93,0,0,0,"6,092"
9,7,"11,529","3,297","10,121","2,191","2,514",0,429,0,0,34,"15,289"
9,8,"60,571","16,712","44,348","19,719","13,217",0,"2,512",418,"1,656",134,"82,003"
9,9,"299,629","94,816","224,709","91,296","78,440",322,"2,803","10,219","47,120","1,262","456,171"
9,10,"59,394","26,128","43,606","22,093","19,823",187,"2,320",219,"1,139","2,314","91,701"
9,11,"36,793","6,893","28,858","9,799","5,029",0,"2,673",327,144,177,"47,007"
9,12,"31,253","7,745","23,415","10,275","5,307",0,0,195,"7,026","3,114","49,333"
9,13,"10,365",984,"7,753","2,889",707,0,621,0,109,40,"12,119"
9,14,"2,740",492,"2,557",268,407,0,66,0,0,0,"3,298"
9,15,"2,057",0,"1,531",431,95,0,185,0,0,497,"2,739"
9,16,"8,115",635,"6,575","1,426",750,0,0,0,0,205,"8,955"
9,17,"1,995",157,"1,608",543,0,0,0,0,0,173,"2,325"
9,18,"1,144",0,"1,107",0,37,0,202,0,0,114,"1,460"
9,19,875,234,424,500,186,0,540,0,0,35,"1,684"
9,20,136,0,136,0,0,0,0,0,0,0,136
9,21,417,51,391,76,0,0,0,0,0,0,468
